Week,Worldwide number of searches
2019-03-03,35
2019-03-10,34
2019-03-17,34
2019-03-24,34
2019-03-31,33
2019-04-07,35
2019-04-14,38
2019-04-21,36
2019-04-28,36
2019-05-05,36
2019-05-12,37
2019-05-19,38
2019-05-26,37
2019-06-02,38
2019-06-09,36
2019-06-16,36
2019-06-23,35
2019-06-30,37
2019-07-07,39
2019-07-14,39
2019-07-21,41
2019-07-28,41
2019-08-04,41
2019-08-11,47
2019-08-18,40
2019-08-25,40
2019-09-01,43
2019-09-08,44
2019-09-15,44
2019-09-22,46
2019-09-29,46
2019-10-06,46
2019-10-13,46
2019-10-20,48
2019-10-27,50
2019-11-03,51
2019-11-10,52
2019-11-17,52
2019-11-24,53
2019-12-01,60
2019-12-08,59
2019-12-15,65
2019-12-22,75
2019-12-29,67
2020-01-05,55
2020-01-12,53
2020-01-19,53
2020-01-26,53
2020-02-02,50
2020-02-09,52
2020-02-16,54
2020-02-23,56
2020-03-01,56
2020-03-08,62
2020-03-15,81
2020-03-22,100
2020-03-29,98
2020-04-05,97
2020-04-12,98
2020-04-19,91
2020-04-26,90
2020-05-03,84
2020-05-10,85
2020-05-17,81
2020-05-24,77
2020-05-31,72
2020-06-07,73
2020-06-14,71
2020-06-21,73
2020-06-28,76
2020-07-05,75
2020-07-12,76
2020-07-19,75
2020-07-26,68
2020-08-02,64
2020-08-09,61
2020-08-16,64
2020-08-23,66
2020-08-30,70
2020-09-06,71
2020-09-13,66
2020-09-20,65
2020-09-27,64
2020-10-04,62
2020-10-11,62
2020-10-18,68
2020-10-25,75
